Zone,Easting,Northing,Longitud,Latitud,Fecha,Año,Día de la Semana,Hora,Turno,Distrito,Calle 2,Incidencia,Calle,Nº
15S,445578,4485189,-3.64241692,40.51564014,01/01/2020,2020,Miércoles,7:45,Tarde,Urbanizaciones,,SALIDA DE VIA,CONDE DE LOS GAITANES,48
15S,443972,4488432,-3.66166082,40.54474735,02/10/2020,2020,Viernes,16:25,Tarde,Norte,,ATROPELLO ANIMAL,"VALDELAPARRA, AVDA.",100
15S,446100,4487429,-3.63644626,40.5358531,16/08/2020,2020,Domingo,3:01,Noche,Urbanizaciones,,ATROPELLO CICLISTA,"ERMITA, AVDA",2
15S,445884,4488380,-3.63907803,40.54440601,04/01/2020,2020,Sábado,19:00,Tarde,Centro,,ATROPELLO PEATON,JARAMA,11
15S,445659,4489354,-3.64181875,40.55316545,06/01/2020,2020,Lunes,21:02,Tarde,Norte,MAESTRO BARBIERI,ATROPELLO PEATON,MANUEL DE FALLA,
15S,447457,4487282,-3.62041162,40.53461601,07/01/2020,2020,Martes,9:20,Mañana,Urbanizaciones,,ATROPELLO PEATON,TRANSICION ESPAÑOLA,
15S,447123,4487527,-3.62437565,40.53680183,07/01/2020,2020,Martes,21:26,Tarde,Urbanizaciones,,ATROPELLO PEATON,"VEGA, AVENIDA",1
15S,444695,4488792,-3.65315461,40.54803894,08/01/2020,2020,Miércoles,20:40,Tarde,Norte,,ATROPELLO PEATON,JOSE HIERRO,3
15S,445932,4488235,-3.63849881,40.54310293,13/01/2020,2020,Lunes,18:30,Tarde,Centro,,ATROPELLO PEATON,NEMESIO DE CASTRO,2
15S,444734,4488443,-3.65266353,40.54489763,16/01/2020,2020,Jueves,20:30,Tarde,Norte,,ATROPELLO PEATON,CHOPERA,121
15S,446123,4487660,-3.63619438,40.53793554,18/01/2020,2020,Sábado,11:55,Mañana,Centro,REAL VIEJA,ATROPELLO PEATON,LIBERTAD,
15S,446306,4484536,-3.63376846,40.50980508,20/01/2020,2020,Lunes,10:30,Mañana,Urbanizaciones,,ATROPELLO PEATON,"PARQUES, PASEO",35
15S,446656,4488227,-3.62994878,40.54307779,03/02/2020,2020,Lunes,21:50,Tarde,Centro,,ATROPELLO PEATON,"MARQUESA VDA ALDAMA, CALLE",62
15S,446192,4486959,-3.63532,40.53162513,11/02/2020,2020,Martes,8:15,Mañana,Urbanizaciones,,ATROPELLO PEATON,"BRUSELAS, AVDA",19
15S,446003,4488286,-3.63766476,40.54356699,17/02/2020,2020,Lunes,19:10,Tarde,Centro,,ATROPELLO PEATON,MIRAFLORES,7
15S,446333,4488001,-3.63374373,40.54102103,08/03/2020,2020,Domingo,5:31,Noche,Centro,,ATROPELLO PEATON,LIBERTAD,9
15S,445481,4488395,-3.64383823,40.54451472,09/05/2020,2020,Sábado,13:55,Mañana,Centro,,ATROPELLO PEATON,"ESPAÑA, AVDA",4
15S,445978,4488364,-3.63796664,40.54426801,26/05/2020,2020,Martes,20:20,Tarde,Centro,,ATROPELLO PEATON,MIRAFLORES,27
15S,445226,4486912,-3.64672097,40.53113846,31/05/2020,2020,Domingo,11:20,Mañana,Empresarial,,ATROPELLO PEATON,RIO NORTE,
15S,444615,4488460,-3.65407026,40.54504282,07/06/2020,2020,Domingo,22:20,Tarde,Norte,,ATROPELLO PEATON,CHOPERA,154
15S,445199,4486126,-3.64697165,40.52405607,18/06/2020,2020,Jueves,21:41,Tarde,Urbanizaciones,,ATROPELLO PEATON,AZALEA,74
15S,446453,4488379,-3.63235878,40.54443397,19/06/2020,2020,Viernes,19:40,Tarde,Centro,,ATROPELLO PEATON,BACHILLER ALONSO LOPEZ,1
15S,445951,4488442,-3.63829215,40.54496891,06/07/2020,2020,Lunes,20:03,Tarde,Centro,JARAMA,ATROPELLO PEATON,MIRAFLORES,
15S,446571,4488257,-3.63095504,40.54334257,29/07/2020,2020,Miércoles,13:10,Mañana,Centro,,ATROPELLO PEATON,RAMIRO GOMEZ GARIBAY,12
15S,446410,4488088,-3.63284188,40.54180975,18/08/2020,2020,Martes,16:26,Tarde,Centro,NTRA SRA DEL PILAR,ATROPELLO PEATON,PADILLA,
15S,446004,4488286,-3.63765295,40.54356705,02/09/2020,2020,Miércoles,11:15,Mañana,Centro,,ATROPELLO PEATON,MIRAFLORES,1
15S,449116,4485417,-3.60067368,40.5179187,15/09/2020,2020,Martes,3:32,Noche,Otros,PONY CLUB,ATROPELLO PEATON,ZORRERAS,
15S,446048,4488797,-3.637177,40.54817321,19/09/2020,2020,Sábado,13:00,Mañana,Centro,ZAPORRA,ATROPELLO PEATON,"ESPAÑA, AVDA",
15S,446194,4488398,-3.63541886,40.54458835,21/09/2020,2020,Lunes,17:45,Tarde,Centro,,ATROPELLO PEATON,FUEGO,45
15S,445093,4488802,-3.64845537,40.5481555,25/09/2020,2020,Viernes,13:30,Mañana,Norte,,ATROPELLO PEATON,OLIVAR,12
15S,444824,4488457,-3.65160196,40.54502974,05/10/2020,2020,Lunes,11:30,Mañana,Norte,,ATROPELLO PEATON,CHOPERA,124
15S,444720,4484926,-3.65252148,40.51321418,06/10/2020,2020,Martes,18:50,Tarde,Urbanizaciones,,ATROPELLO PEATON,"PARQUES, PASEO",5
15S,445559,4488487,-3.64292507,40.54534862,16/10/2020,2020,Viernes,19:30,Tarde,Centro,,ATROPELLO PEATON,"ESPAÑA, AVDA",18
15S,444728,4488631,-3.65275083,40.5465908,22/10/2020,2020,Jueves,20:40,Tarde,Norte,,ATROPELLO PEATON,MARQUES DE LA VALDAVIA,103
