fecha;provincia;dosis_administradas;personas_vacunadas_ciclo_completo;personas_vacunadas_1a_dosis;porcentaje_residentes_1a_dosis;porcentaje_residentes_2a_dosis;personas_vacunadas_3a_dosis;porcentaje_residentes_3a_dosis
2020-11-07;Ávila;0;0;0;;;;
2020-11-07;Palencia;0;0;0;;;;
2020-11-07;Salamanca;0;0;0;;;;
2020-11-07;Valladolid;0;0;0;;;;
2020-11-13;Salamanca;0;0;0;;;;
2020-11-19;Burgos;0;0;0;;;;
2020-11-19;León;0;0;0;;;;
2020-11-19;Salamanca;0;0;0;;;;
2020-11-19;Segovia;0;0;0;;;;
2020-11-19;Zamora;0;0;0;;;;
2020-11-20;Ávila;0;0;0;;;;
2020-11-20;Salamanca;0;0;0;;;;
2020-11-20;Soria;0;0;0;;;;
2020-11-21;Ávila;0;0;0;;;;
2020-11-21;León;0;0;0;;;;
2020-11-21;Segovia;0;0;0;;;;
2020-11-21;Zamora;0;0;0;;;;
2020-11-21;TotalCyL;1;0;1;;;;
2020-11-23;Segovia;0;0;0;;;;
2020-11-24;Burgos;0;0;0;;;;
2020-11-24;Palencia;0;0;0;;;;
2020-11-24;Segovia;0;0;0;;;;
2020-11-24;Zamora;0;0;0;;;;
2020-11-28;Burgos;0;0;0;;;;
2020-11-28;León;0;0;0;;;;
2020-11-28;Palencia;0;0;0;;;;
2020-11-28;Valladolid;0;0;0;;;;
2020-12-01;Palencia;0;0;0;;;;
2020-12-01;Salamanca;0;0;0;;;;
2020-12-01;Zamora;0;0;0;;;;
2020-12-01;TotalCyL;1;1;1;;;;
2020-12-03;Ávila;0;0;0;;;;
2020-12-03;Palencia;0;0;0;;;;
2020-12-03;Salamanca;0;0;0;;;;
2020-12-03;Soria;0;0;0;;;;
2020-12-03;TotalCyL;3;2;1;;;;
2020-12-04;Burgos;0;0;0;;;;
2020-12-04;Segovia;0;0;0;;;;
2020-12-04;Valladolid;0;0;0;;;;
2020-12-04;TotalCyL;5;1;4;;;;
2020-12-10;Zamora;0;0;0;;;;
2020-12-11;Palencia;0;0;0;;;;
2020-12-11;Salamanca;0;0;0;;;;
2020-12-11;Soria;0;0;0;;;;
2020-12-13;Ávila;0;0;0;;;;
2020-12-13;Zamora;0;0;0;;;;
2020-12-13;TotalCyL;1;0;1;;;;
2020-12-14;Ávila;0;0;0;;;;
2020-12-14;Burgos;0;0;0;;;;
2020-12-14;León;0;0;0;;;;
2020-12-14;Salamanca;0;0;0;;;;
2020-12-15;Burgos;0;0;0;;;;
2020-12-15;Valladolid;0;0;0;;;;
2020-12-15;Zamora;0;0;0;;;;
2020-12-15;TotalCyL;2;0;1;;;;
2020-12-21;Ávila;0;0;0;;;;
2020-12-21;Soria;0;0;0;;;;
2020-12-21;Zamora;0;0;0;;;;
2020-12-22;León;0;0;0;;;;
2020-12-22;Valladolid;0;0;0;;;;
2020-12-22;Zamora;0;0;0;;;;
2020-12-24;Ávila;0;0;0;;;;
2020-12-24;Burgos;0;0;0;;;;
2020-12-24;Palencia;0;0;0;;;;
2020-12-24;Zamora;0;0;0;;;;
2020-12-26;Burgos;0;0;0;;;;
2020-12-26;Segovia;0;0;0;;;;
2020-12-26;TotalCyL;1;0;1;;;;
2020-12-27;Ávila;0;0;0;;;;
2020-12-27;Burgos;0;0;0;;;;
2020-12-27;León;0;0;0;;;;
2020-12-27;Soria;0;0;0;;;;
2020-12-27;TotalCyL;126;0;126;;;;
2020-12-28;Burgos;0;0;0;;;;
2020-12-28;León;0;0;0;;;;
2020-12-28;Segovia;0;0;0;;;;
2020-12-28;Valladolid;0;0;0;;;;
2020-12-28;Zamora;0;0;0;;;;
2020-12-28;TotalCyL;322;1;322;;;;
2020-12-29;Ávila;0;0;0;;;;
2020-12-29;Burgos;0;0;0;;;;
2020-12-31;Ávila;0;3;0;;;;
2020-12-31;Salamanca;0;0;0;;;;
2021-01-01;León;0;0;0;;;;
2021-01-01;Salamanca;0;0;0;;;;
2021-01-01;Segovia;0;0;0;;;;
2021-01-01;Soria;0;0;0;;;;
2021-01-02;Burgos;852;0;852;;;;
2021-01-02;Salamanca;0;0;0;;;;
2021-01-02;Segovia;0;0;0;;;;
2021-01-02;Soria;419;0;419;;;;
2021-01-02;Valladolid;713;0;713;;;;
2021-01-02;Zamora;254;0;254;;;;
2021-01-03;Ávila;0;0;0;;;;
2021-01-03;Segovia;0;0;0;;;;
2021-01-03;Zamora;255;0;255;;;;
2021-01-03;TotalCyL;1615;1;1614;;;;
2021-01-04;León;453;0;453;;;;
2021-01-04;Segovia;0;0;0;;;;
2021-01-04;Soria;364;0;364;;;;
2021-01-04;Zamora;498;1;498;;;;
2021-01-05;Palencia;612;0;612;;;;
2021-01-05;Soria;176;0;176;;;;
2021-01-06;León;1;0;1;;;;
2021-01-06;Valladolid;0;1;0;;;;
2021-01-06;TotalCyL;272;2;272;;;;
2021-01-07;Ávila;199;0;199;;;;
2021-01-07;Burgos;992;0;992;;;;
2021-01-07;Segovia;204;0;204;;;;
2021-01-08;León;1288;4;1288;;;;
2021-01-08;Salamanca;1273;0;1273;;;;
2021-01-08;Valladolid;1243;0;1243;;;;
2021-01-08;Zamora;450;0;450;;;;
2021-01-09;Burgos;0;0;0;;;;
2021-01-09;León;70;0;70;;;;
2021-01-09;Palencia;179;1;179;;;;
2021-01-09;Salamanca;1;0;1;;;;
2021-01-10;Ávila;0;0;0;;;;
2021-01-10;Palencia;1;0;1;;;;
2021-01-10;TotalCyL;604;0;604;;;;
2021-01-11;Palencia;920;0;920;;;;
2021-01-11;Valladolid;1091;0;1091;;;;
2021-01-12;Ávila;487;1;487;;;;
2021-01-12;Salamanca;506;0;506;;;;
2021-01-12;Soria;416;1;416;;;;
2021-01-12;Zamora;538;0;538;;;;
2021-01-13;Burgos;841;0;841;;;;
2021-01-13;Segovia;302;0;302;;;;
2021-01-13;Valladolid;1268;0;1268;;;;
2021-01-14;Ávila;540;0;540;;;;
2021-01-14;Burgos;798;0;798;;;;
2021-01-14;Soria;312;0;312;;;;
2021-01-14;Zamora;291;0;291;;;;
2021-01-15;Ávila;693;0;693;;;;
2021-01-15;Palencia;0;0;0;;;;
2021-01-15;Salamanca;854;0;854;;;;
2021-01-15;Segovia;289;0;289;;;;
2021-01-15;Soria;307;0;307;;;;
2021-01-16;Palencia;0;0;0;;;;
2021-01-16;Soria;252;1;252;;;;
2021-01-17;León;0;0;0;;;;
2021-01-17;Salamanca;1;0;1;;;;
2021-01-17;Segovia;2;0;2;;;;
2021-01-17;Soria;0;0;0;;;;
2021-01-17;Zamora;0;0;0;;;;
2021-01-18;Burgos;636;0;636;;;;
2021-01-18;Segovia;539;0;539;;;;
2021-01-18;Soria;2;0;2;;;;
2021-01-18;TotalCyL;3917;311;3607;;;;
2021-01-19;Ávila;14;1;14;;;;
2021-01-19;León;985;3;982;;;;
2021-01-19;Salamanca;874;0;874;;;;
2021-01-19;Segovia;567;2;567;;;;
2021-01-19;Valladolid;298;0;298;;;;
2021-01-19;Zamora;84;0;84;;;;
2021-01-19;TotalCyL;3585;216;3376;;;;
2021-01-20;Segovia;495;7;489;;;;
2021-01-21;TotalCyL;4181;772;3406;;;;
2021-01-22;León;452;306;148;;;;
2021-01-22;Valladolid;815;379;436;;;;
2021-01-22;Zamora;489;309;178;;;;
2021-01-22;TotalCyL;3119;1011;2117;;;;
2021-01-23;Burgos;944;812;128;;;;
2021-01-23;Palencia;635;1;634;;;;
2021-01-23;Soria;420;412;8;;;;
2021-01-23;Valladolid;90;2;90;;;;
2021-01-24;Palencia;0;0;0;;;;
2021-01-24;Segovia;0;0;0;;;;
2021-01-25;Segovia;181;1;180;;;;
2021-01-25;Soria;378;356;20;;;;
2021-01-25;Valladolid;694;544;147;;;;
2021-01-25;TotalCyL;5074;3677;1366;;;;
2021-01-26;Ávila;712;685;23;;;;
2021-01-26;Salamanca;306;0;306;;;;
2021-01-26;Valladolid;1550;1268;276;;;;
2021-01-27;Ávila;525;472;48;;;;
2021-01-27;León;589;115;470;;;;
2021-01-27;TotalCyL;4124;2359;1746;;;;
2021-01-28;Zamora;626;483;141;;;;
2021-01-28;TotalCyL;7382;6313;1041;;;;
2021-01-29;Segovia;453;415;33;;;;
2021-01-29;Soria;0;0;0;;;;
2021-01-29;TotalCyL;7323;6232;1054;;;;
2021-01-30;Ávila;0;0;0;;;;
2021-01-30;Burgos;4;4;0;;;;
2021-01-30;Zamora;0;0;0;;;;
2021-01-31;León;44;39;5;;;;
2021-01-31;Salamanca;1;1;0;;;;
2021-01-31;Segovia;0;0;0;;;;
2021-02-01;Ávila;479;396;43;;;;
2021-02-01;León;323;158;165;;;;
2021-02-02;Zamora;554;510;36;;;;
2021-02-02;TotalCyL;7264;6624;580;;;;
2021-02-03;Burgos;867;831;28;;;0;
2021-02-03;León;1315;832;479;;;0;
2021-02-03;Salamanca;1717;1377;336;;;0;
2021-02-03;Valladolid;1297;1206;80;;;0;
2021-02-04;Burgos;1127;779;347;;;;
2021-02-04;Palencia;369;188;179;;;;
2021-02-04;Segovia;487;294;172;;;;
2021-02-04;Valladolid;1277;904;365;;;;
2021-02-05;Ávila;716;621;92;;;;
2021-02-05;Segovia;171;39;150;;;;
2021-02-05;Zamora;666;630;28;;;;
